PEDIGREE_NAME,predicted.value_AFW_C,predicted.value_EXTCO,predicted.value_FRLGT,predicted.value_FRNMK,predicted.value_FRNMKAvg_1.76,predicted.value_NETWTAvg_1.76,predicted.value_NETWTSum_1.76,predicted.value_NFSA_C,predicted.value_NFSA_CAvg_1.76,predicted.value_NFSA_CSum_1.76,predicted.value_SHAPE,predicted.value_WFSA_C,predicted.value_WFSA_CAvg_1.76,predicted.value_WFSA_CSum_1.76,standard.error_AFW_C,standard.error_EXTCO,standard.error_FRLGT,standard.error_FRNMK,standard.error_FRNMKAvg_1.76,standard.error_NETWTAvg_1.76,standard.error_NETWTSum_1.76,standard.error_NFSA_C,standard.error_NFSA_CAvg_1.76,standard.error_NFSA_CSum_1.76,standard.error_SHAPE,standard.error_WFSA_C,standard.error_WFSA_CAvg_1.76,standard.error_WFSA_CSum_1.76,BLUP.se_AFW_C,BLUP.se_EXTCO,BLUP.se_FRLGT,BLUP.se_FRNMK,BLUP.se_FRNMKAvg_1.76,BLUP.se_NETWTAvg_1.76,BLUP.se_NETWTSum_1.76,BLUP.se_NFSA_C,BLUP.se_NFSA_CAvg_1.76,BLUP.se_NFSA_CSum_1.76,BLUP.se_SHAPE,BLUP.se_WFSA_C,BLUP.se_WFSA_CAvg_1.76,BLUP.se_WFSA_CSum_1.76,BLUP_AFW_C,BLUP_EXTCO,BLUP_FRLGT,BLUP_FRNMK,BLUP_FRNMKAvg_1.76,BLUP_NETWTAvg_1.76,BLUP_NETWTSum_1.76,BLUP_NFSA_C,BLUP_NFSA_CAvg_1.76,BLUP_NFSA_CSum_1.76,BLUP_SHAPE,BLUP_WFSA_C,BLUP_WFSA_CAvg_1.76,BLUP_WFSA_CSum_1.76,reliability_AFW_C,reliability_EXTCO,reliability_FRLGT,reliability_FRNMK,reliability_FRNMKAvg_1.76,reliability_NETWTAvg_1.76,reliability_NETWTSum_1.76,reliability_NFSA_C,reliability_NFSA_CAvg_1.76,reliability_NFSA_CSum_1.76,reliability_SHAPE,reliability_WFSA_C,reliability_WFSA_CAvg_1.76,reliability_WFSA_CSum_1.76,N_AFW_C,N_EXTCO,N_FRLGT,N_FRNMK,N_FRNMKAvg_1.76,N_NETWTAvg_1.76,N_NETWTSum_1.76,N_NFSA_C,N_NFSA_CAvg_1.76,N_NFSA_CSum_1.76,N_SHAPE,N_WFSA_C,N_WFSA_CAvg_1.76,N_WFSA_CSum_1.76,n_AFW_C,n_EXTCO,n_FRLGT,n_FRNMK,n_FRNMKAvg_1.76,n_NETWTAvg_1.76,n_NETWTSum_1.76,n_NFSA_C,n_NFSA_CAvg_1.76,n_NFSA_CSum_1.76,n_SHAPE,n_WFSA_C,n_WFSA_CAvg_1.76,n_WFSA_CSum_1.76,h2_AFW_C,h2_EXTCO,h2_FRLGT,h2_FRNMK,h2_FRNMKAvg_1.76,h2_NETWTAvg_1.76,h2_NETWTSum_1.76,h2_NFSA_C,h2_NFSA_CAvg_1.76,h2_NFSA_CSum_1.76,h2_SHAPE,h2_WFSA_C,h2_WFSA_CAvg_1.76,h2_WFSA_CSum_1.76,mdl_AFW_C,mdl_EXTCO,mdl_FRLGT,mdl_FRNMK,mdl_FRNMKAvg_1.76,mdl_NETWTAvg_1.76,mdl_NETWTSum_1.76,mdl_NFSA_C,mdl_NFSA_CAvg_1.76,mdl_NFSA_CSum_1.76,mdl_SHAPE,mdl_WFSA_C,mdl_WFSA_CAvg_1.76,mdl_WFSA_CSum_1.76,M.GERMPLASM.X_ID,M.GERMPLASM.PEDIGREE,M.GERMPLASM.ORIGIN,M.LINETYPE,MZ.GERMPLASM.LINECODE,M.GERMPLASM.CODEYEAR,PEDIGREE,ALSPS_GCV,CGMMV_GCV,CMV_GCV,CMVI_GCV,CVYV_GCV,DCV_APPROVED_GCV,DCVNCL_GCV,DESC_GCV,EARLY_GCV,EXTCO_GCV,FLWRP_GCV,FNECK_GCV,FRNOD_GCV,FRSTR_GCV,FRSTX_GCV,FRTVEST_GCV,FRUIT_GCV,FTLGTH_GCV,FTWIN_GCV,HABIT_GCV,LFSZE_GCV,LSHOT_GCV,M_ACO_ALSPS_QTL05_GCV,M_CGMMV_5_GCV,M_CMV_QTL1_GCV,M_CMV_QTL2_GCV,M_CMV_QTL3_GCV,M_CVYV_QTL1_GCV,M_CYSDV_QTL05_GCV,M_DMPC_QTL04_GCV,M_DMPC_QTL05.1_GCV,M_DMPC_QTL05.2_GCV,M_PMPX_5LB_GCV,M_PMPX_QTL1_GCV,M_PMPX_QTL2_GCV,M_PMPXHY_1_GCV,M_PMPXHY_2_GCV,M_SC_GCV,M_SEX_F_GCV,M_TLS_QTL06_GCV,M_ZYMV_PRSVW_QTL06_GCV,MATP_GCV,MSKCR_GCV,MTYPE_GCV,NECRO_GCV,PARTH_GCV,PDI_DMPC_GCV,PDI_PMPX_GCV,PLANT_GCV,PLTP_GCV,PLTSZ_GCV,PLTVG_GCV,PMC_GCV,PMPX_GCV,PMPXHY_GCV,POLLEN_GCV,PRODSTG_GCV,RIBS_GCV,RLGTH_GCV,SC_GCV,SEXDX_GCV,SEXEX_GCV,SEXMS_GCV,SHAPE_GCV,SKNCR_GCV,SPNCR_GCV,SSVIG_GCV,ST1_GCV,ST2_GCV,STDSC_GCV,STRGY_GCV,TLS_GCV,UNICR_GCV,WARTS_GCV,ZYMV_GCV,p_M_CGMMV_QTL5_TLM,p_M_CMV_QTL1_TLM,p_M_CMV_QTL2_TLM,p_M_CMV_QTL3_TLM,p_M_CVYV_QTL1_TLM,p_M_CYSDV_QTL04_TLM,p_M_PMPXHY_MLO8_1_TLM,p_M_PMPXHY_MLO8_2_TLM,p_M_PMPX_QTL05_LB_TLM,p_M_PMPX_QTL1_TLM,p_M_SC_TLM,p_M_TLS_QTL06_TLM,p_M_ZYMV_TLM,P1,P1_hybrid_stage_count,P2_hybrid_stage_count,S1_hybrid_stage_count
04GA7121,0.415141692620612,3.89056452945105,30.9927200559789,6.03711940273554,6.16524273944342,2.54425594100052,111.938665069289,1.20320879687966,1.26445401508978,53.7281621103801,4.17278176189721,0.495685678950249,0.522317523817415,22.1699085904694,0.0139545108318395,0.469391093935403,2.28034050910657,3.72615408305962,0.557313065517833,0.224676356733249,11.7472116833807,0.741077548539013,0.107336766999796,6.57464277599414,0.648424970825815,0.304556063100558,0.0426686228243469,2.62387814098455,0.0114753263761004,0.238552824270896,1.15994801758629,1.08070061136476,0.381601904434982,0.151269085935002,8.16583940313716,0.216094698761818,0.0740239058448839,5.0479931576611,0.326432040352514,0.088690018877397,0.0291613297008077,2.01875211993553,0.0052102711025251,-0.0511714990864074,0.601933107802316,-0.373173926361042,-0.105206280545361,-0.0129936953625123,-3.21751436178319,-0.0772464281793854,-0.0216359516113645,-1.8671303768555,0.0962364123882523,-0.0254894352608767,-0.00181305547536,-0.458670952637867,0.328798993800201,-0.0874224787397617,0.272183371547959,-0.663622703850899,-0.100500697847655,-0.153041777701544,-0.251100278524427,-0.607364930362117,0.208538470220136,-0.40231978600721,0.223131672043958,-0.675207139087506,0.118121021096551,-0.556576329005281,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,368371863977984,04GA7121,F,Finished,04GA7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04LC4010F,0.411935296772528,3.91310491610472,30.8383394697666,6.18168406043598,6.19140389306011,2.53970857025611,112.818782000833,1.23181834988242,1.27227859971726,54.4832053685835,4.16143428553765,0.504671730015801,0.522070707815007,22.3268497474661,0.0143015825966749,0.471353207978362,2.48003890826071,3.72346675190258,0.560354534627202,0.225389876742898,11.7747683275336,0.73934033322793,0.107695251989079,6.72406345863999,0.711776051913259,0.303681621502887,0.0429179011632225,2.68492927819622,0.0118949572362247,0.242390795149567,1.51529520309308,1.0713982514575,0.386030264291272,0.152326844721682,8.20543234636416,0.210059787255806,0.0745427688481927,5.24111979291438,0.439008066276091,0.0856390747018243,0.0295248711504211,2.09749108506399,0.0020038752544413,-0.0286311124327375,0.447552521590038,-0.228609268660598,-0.0790451269286714,-0.0175410661069242,-2.33739743023926,-0.048636875176634,-0.0138113669838886,-1.11208711865213,0.0848889360286965,-0.0165033841953243,-0.0020598714777685,-0.301729795641126,0.278812358083406,-0.122694067605885,-0.242050964797793,-0.635105995061589,-0.126190770161814,-0.169223593965276,-0.263261876882648,-0.518840277284633,0.197404246980608,-0.511672522495098,-0.405098780787045,-0.561934986504362,0.0959959703919415,-0.680369064456646,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,365660427124736,04LC4010F,04LC4010FP,Finished,04LC4010F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05VA8436,0.417167420499766,3.94091685329037,30.5178620544461,6.71311479042221,6.22002260252855,2.56653041583769,113.158062868503,1.33767448437477,1.27453021342283,53.8923682678651,4.03386832329539,0.550732820511603,0.525766556148134,22.2152291553061,0.013808871124606,0.452578333276983,2.492555066463,3.92695680922328,0.561283340467347,0.225824772291793,11.7422075311036,0.781238664290188,0.106979736196729,6.89228747479597,0.710293986700431,0.320475152339707,0.042845427640793,2.75940253150888,0.0112977725511748,0.203486114154058,1.53569441145701,1.6445909346118,0.387377269283711,0.15296960111514,8.15863888937222,0.32838215004212,0.0735052450052755,5.45526662254841,0.436601055565648,0.133476017112888,0.0294194229364762,2.19201413177591,0.0072359989816792,-0.0008191752470828,0.127075106269468,0.302821461325629,-0.0504264174602286,0.0092807794746646,-1.99811656256884,0.057219259315718,-0.0115597532783197,-1.70292421937047,-0.0426770262135599,0.0295577063004771,0.0016359768553581,-0.413350387801137,0.349408836222595,0.20877730122136,-0.275717541848238,-2.85265241013192,-0.134063889943983,-0.179111693549715,-0.248894848678415,-2.71180666174696,0.219590629064736,-0.637727000868411,-0.389733158368853,-2.79424611713387,0.102441748387532,-0.835232661419637,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,368371909328896,05VA8436,F,Finished,05VA8436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07GW8088,0.413716609669792,3.82632283354048,31.5206921143024,5.85130454180825,5.90893715370283,2.42724027102993,114.840945778946,1.17812086341926,1.22375513180338,56.3955818875059,3.88513739201149,0.481528779518797,0.501616318557739,23.1048440737624,0.0137569137517266,0.446487349737529,2.32660709002815,3.77462076609369,0.546541312821922,0.220275436894558,11.2679153208647,0.750759212934584,0.108049162246769,6.18097175600216,0.655842478491653,0.3083869206747,0.0427830031640729,2.45305138566549,0.0112342075312212,0.18955317031743,1.24844988581808,1.23751827805814,0.365690534595348,0.144651785968142,7.45988381289206,0.247265811810942,0.0750531714772424,4.52335264337834,0.340928571364034,0.101064418666441,0.0293284356202287,1.79111270547752,0.0037851881517046,-0.115413194996978,1.12990516612578,-0.558988787288327,-0.361511866285951,-0.130009365333102,-0.315233652126573,-0.102334361639789,-0.0623348348977626,0.800289400270284,-0.191407957497468,-0.0396463346923285,-0.0225142607350366,0.476264530655192,0.356709125211132,0.31341978225324,0.156884356128756,-1.18146017393039,-0.0106404909805649,-0.0543681493956647,-0.0441300111310392,-1.10452654724054,0.186375694165047,-0.125979388038844,0.152599620454969,-1.17528209395415,0.10798503380218,-0.225322080310654,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,368372086931456,07GW8088,F,Finished,07GW8088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07VW9116,0.410792955739902,3.95101450196888,30.3900987534964,6.37769696135734,6.09108897740759,2.48895365964493,115.874384411072,1.26868710155405,1.25107901246037,56.7471810665941,4.00442556015565,0.517375128304017,0.511789761700284,23.1672599389446,0.0143460296587884,0.442147634501931,2.29045190396569,3.96155138723751,0.56698393607071,0.227285995323745,11.9963100552472,0.790126891447324,0.109782114012092,6.83884629167727,0.655818141577387,0.324155834892821,0.0436389107591138,2.72505650795319,0.0119483601323754,0.179092103671267,1.17970186505321,1.72556627065601,0.395591891011123,0.155118647347733,8.52029376050472,0.349000702682071,0.0775272187268949,5.38758998895139,0.340881752225408,0.142086344073678,0.0305634799791307,2.14861736811041,0.0008615342218149,0.0092784734314224,-0.0006881946801661,-0.0325963677392402,-0.179360042581187,-0.0682959767181004,0.718204980000125,-0.0117681235050039,-0.0350109542407771,1.15188857935854,-0.0721197893533044,-0.0037999859071088,-0.0123408175924912,0.538680395837379,0.272322219116975,0.387110675464411,0.24718294100815,-3.24138142962417,-0.182671188083973,-0.212474729982314,-0.362070506085796,-3.19255593611606,0.131851089241981,-0.597344611784157,0.152832348568448,-3.29955689459174,0.0312762486797505,-0.763285329863684,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,368371892551680,07VW9116,F,Finished,07VW9116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08GW8387F,0.430204945764656,4.14673282236903,32.3036807576944,6.00671978776952,5.5876496888228,2.34695970922294,118.825410628995,1.19273612741418,1.15013178267803,57.0717599823136,4.46091628157458,0.504217170150275,0.485745755422927,23.9260000577933,0.0128852766326691,0.455963023066553,2.29689039190232,3.82957928647817,0.526131112341492,0.213088024184095,10.7060371331395,0.761140931932883,0.100836815039358,6.12898395089485,0.65659787609849,0.312223059280193,0.0403133682667672,2.4477740751375,0.0101481573097045,0.210906920952672,1.19215436854592,1.39619736145177,0.33441906023015,0.133451778314738,6.58051532327324,0.277193982885679,0.064237219381334,4.45205026456215,0.342379475254131,0.112226390049063,0.0255917845646767,1.78387823180925,0.0202735242465695,0.204996793831578,1.91289380951777,-0.403573541327058,-0.68279933116598,-0.210289927140086,3.66923119792253,-0.0877190976448693,-0.135958184023117,1.47646749507804,0.384370932065624,-0.0169579440608509,-0.0383848238698483,1.29742051468603,0.475075446430071,0.15001581747562,0.231206135318685,-1.77675568835626,0.154815936375876,0.102584825727609,0.18752452319965,-1.64480623616617,0.403982126525113,-0.0907611585509105,0.145371638875639,-1.6823102372352,0.320803425866723,-0.215443686953043,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,365648547872768,08GW8387F,08GW8387FP,Finished,08GW8387F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10VV8003,0.408363881676511,3.9957074887131,30.2022496358082,6.75317512653129,6.60773891751347,2.66382102611154,125.940250386501,1.35313916013149,1.35290566789938,62.8148567809936,4.04695679711182,0.545137333772978,0.546248546418733,25.3715231207293,0.0142397794891365,0.470497170540823,2.28658065003827,3.76342152989897,0.555851879520162,0.225434575738023,11.5725346159708,0.748326326804599,0.108146243114007,6.7089798957497,0.652751544665926,0.307398106278242,0.0431666583975257,2.67507682058729,0.0118205779377039,0.24072191090274,1.17216792105883,1.20292608767511,0.37946471830411,0.152392975634926,7.91249064843143,0.239777557901551,0.0751928652615237,5.22175435360904,0.334944044941837,0.0980057121835819,0.0298853170202611,2.08486441263001,-0.0015675398415753,0.0539714601756477,-0.188537312368361,0.342881797434717,0.337289897524694,0.106571389748511,10.7840709554284,0.0726839350724457,0.066815701198233,7.21956429375801,-0.0295885523971358,0.0239622195618517,0.0221179671259573,2.74294357762212,0.287803348066258,-0.107287572296504,0.256767686382167,-1.0612085310524,-0.0882083659296373,-0.170239023758727,-0.174672688492614,-0.978988762645054,0.183344135869718,-0.500522187856284,0.182088379487379,-1.0456051025746,0.0737886925676136,-0.66019867475227,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,588811838750720,10VV8003,10VV8003,Finished,10VV8003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APD-45-1142-MO,0.412097106429744,3.96724704290297,30.8191586076537,5.65876112937598,5.84710097548036,2.41245111113138,111.431831997514,1.12571807328607,1.20226367827793,54.1174455858951,4.56776741879987,0.461561827307493,0.495562393763441,22.3246449288301,0.0119790070774492,0.482680626002062,2.21224029393417,3.69526717282146,0.503955102305473,0.204858379136838,10.1606056928577,0.735544133059985,0.101949922844332,5.58643556190663,0.633671839778776,0.302133491991878,0.0407768586356432,2.22390737092236,0.0089694678461811,0.263742369784396,1.01957524692192,0.968859659204669,0.298316787343993,0.119874211518813,5.64994326249428,0.19628081302902,0.0659707803086264,3.66940997643986,0.296045494319479,0.0799760642965639,0.0263158502880689,1.46163867540869,0.0021656849116575,0.0255110143655099,0.428371659477118,-0.751532199720599,-0.423348044508416,-0.144798525231646,-3.72434743355861,-0.154737151772975,-0.0838262884232186,-1.4778469013405,0.491222069290915,-0.0596132869036328,-0.0285681855293349,-0.303934614277091,0.589932018224873,-0.329195888630643,0.437680057248987,-0.337105856851264,0.327449899255018,0.275903905394936,0.401066472360228,-0.326117356702272,0.371378748940167,0.259027617287122,0.361032501024032,-0.362194357354139,0.281826859789317,0.184010665177703,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,3805623091200,APD-45-1142-MO,CAMPBELL-PROGRAM-ACQUISITION-1993,Finished,APD-45-1142-MO,,APD-45-1142-MO,HR,,S2,8.0,,,,By ZZ Date 10-15-04,,,M,,,,W,,,,,,,,R,,S,S,R,S,S,R,R,S,,S,R,,,S,GY,,S,M,,,,,6.0,,,D,,,PSP-A-OPF,,,NP,SC1,,,,,,,,MG,W,,M311118-429,,MONOECIOUS DETERMINATE AMERICAN TYPE PICKLING CUCUMBER,,,U,,,,,,,,,,,,,,,,APD-45-1142-MO,,,
EUR-33-1237-GY,0.408687681515477,4.06236970269074,30.2494480651505,6.32398809036192,6.37269657615454,2.57959684395399,121.867602371829,1.27667788775459,1.31765573045275,60.1968755144595,4.11593199298018,0.511480756964393,0.52919634758115,24.2106247384225,0.0136015962134024,0.433090555846025,2.49653585425469,3.64953556197588,0.614767453754314,0.25004687238767,12.2375086154084,0.725670908287525,0.114745418873596,6.23452073118126,0.708801282697231,0.297856914513774,0.0457935126483623,2.47213632878077,0.0110434669571898,0.155392665414958,1.54214715173654,0.776401557719222,0.461477174589474,0.186885819353798,8.85666799286652,0.155239341080827,0.084408934592499,4.59625456599069,0.434168391907434,0.0618891379874338,0.0335681035637784,1.81716307773554,-0.0012437400026098,0.120633674153288,-0.141338883026051,-0.0863052387346547,0.102247556165765,0.0223472075909557,6.71142294075668,-0.0037773373044632,0.0315657637516028,4.60158302722391,0.0393866434712208,-0.0096943572467327,0.0050657682883745,1.58204519531527,0.387782043590314,0.545574285853521,-0.266978476089649,0.15435219570762,-0.585047897757713,-0.733285328651077,-0.449452095468658,0.18303673399517,-0.0135270383095871,-0.144960173459636,-0.353477211891934,0.196620819115403,-0.150855088493476,-0.242123914714762,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,3805470130176,EUR-33-1237-GY,GRENDEL,Finished,EUR-33-1237-GY,,EUR-33-1237-GY,,,,,,,,By MZ Date Nov 06,,,G,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,M,,EUR,,,,,,I,,,,IR,,P,,,,HR,,,,,DG,W,,,GRENDEL,"Long Dutch cucumber parental . Suitable for summercropping. Strong on burntheads. Resistant to Scab, TLS and PM. Moderate vigor",,HR,U,,,S,S,S,S,S,,R,R,R,,R,R,S,,7.0,,
EUR-Y314-7012GY,0.414094137249288,3.83766732544065,31.3630343839783,6.20417116285473,6.15458092226597,2.52718588849338,116.409427359583,1.2361256020974,1.26132014025884,56.3683482007535,4.14572841350817,0.507272374244551,0.518518798429345,23.1629399142534,0.0138406572591738,0.476581126653416,2.49049005729739,3.81956341349083,0.559705331986701,0.224769487374842,12.0155630428112,0.75936941992335,0.10753402950859,6.53695711769319,0.707284575838962,0.311810833676592,0.0424887083598358,2.59355568565103,0.0113366016181226,0.25240646026595,1.5323404620146,1.36848610894666,0.385087287671074,0.15140737610643,8.54738006990693,0.272291942222118,0.0743096534032977,4.99881142337065,0.431687856440215,0.111074388925859,0.0288974413102615,1.97918031456975,0.0041627157312006,-0.1040687030968,0.972247435801717,-0.206122166241843,-0.115868097722804,-0.0300637478696527,1.25324792851109,-0.0443296229616496,-0.024769826442304,0.773055713517879,0.0691830639992177,-0.0139027399665744,-0.0056117808634302,0.534360371146136,0.3550859035452,-0.198515643365391,-0.250457834117504,-1.62626426455014,-0.103319293910665,-0.137240552064816,-0.349491261703836,-1.51251946728883,0.21478266080912,-0.353806662296292,-0.337565671239944,-1.58678586368322,0.147436534115139,-0.472952523862172,2285,9251,10420,100706,2176,2176,2285,99211,2176,2285,10386,99211,2176,2285,True,True,True,True,True,True,True,True,True,True,True,True,True,True,0.207754361085499,0.117993141458741,0.13446959204745,0.0418433452326684,0.0143004606862941,0.0134005582045337,0.0083108993249296,0.0800889566479988,0.301032356892247,0.0805826400301068,0.118015069641693,0.0684722048200861,0.247416385085283,0.0717173550139423,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,P_GCA,668403422724097,EUR-Y314-7012GY,ROXANNA,Finished,EUR-Y314-7012GY,11/14/2014 4:43:05 AM,EUR-Y314-7012GY,,,S2,,S2 | S1,,,,4,4.0,,6.0,3.0,1.0,R,P,"POINTY,STAR,R,CURVED,N",L,N,I,,3.0,,,S,S,S,S,,,,,,R,S,,,R,,,S,,,EUR,,P,,S1,MULTI PISTLE,,M,4.0,,S2 | S1,,,,,L,S1 | S2,,G,,5.0,,N,,DH[ROXANNA],,,S,S2 | S1,,,S2 | S1,,,,,,,,,,,,,,,1.0,,
